Usia Kepala Rumah Tangga,Pendidikan Terakhir,Status Petani,Jumlah Tanggungan Keluarga (termasuk Kepala Keluarga),Luas lahan yang dikelola,Status Kepemilikan Lahan,Komoditas Utama yang ditanam,Pola Tanam,Sistem Irigasi,Frekuensi Panen per Tahun,Produksi Rata - Rata per Panen (Kwintal/Ha),Harga Jual Rata-Rata Hasil Panen Utama (Rp/kg),Pernah Gagal Panen dalam 5 Tahun Terakhir?,Pengeluaran Rata-Rata Benih per Tahun (Rp),Pengeluaran Rata-Rata Pupuk per Tahun (Rp),Pengeluaran Rata-Rata Biaya Perawatan per Tahun (Rp),Stok Pupuk Saat Ini,Menerima Subsidi Benih/Pupuk Pemerintah?,Pernah Mengikuti Pelatihan dari Dinas/Kementerian?,Sumber Utama Pangan Pokok,Pernah Kehabisan Pangan Pokok dalam 3 Bulan Terakhir?,Status Kemandirian Pangan Rumah Tangga,Cadangan Pangan Keluarga dari Hasil Panen?,Strategi Saat Kekurangan Pangan atau Gagal Panen,Keikutsertaan dalam Koperasi atau Organisasi Tani,Pernah Menerima Bantuan Pangan Pemerintah?,Sumber Pinjaman Utama Saat Darurat,"Akses ke Informasi Pertanian (cuaca, harga, dll)",Sumber Informasi Pertanian Utama,Apakah mempunyai pekerjaan sampingan?,Pernah Terdampak Kekeringan Ekstrem dalam 5 Tahun Terakhir?,Kondisi Tanah Dominan (berdasarkan persepsi petani),Apakah pola tanam berubah akibat iklim?
30,Sarjana,Buruh Tani,3,0.35,Sewa,Bawang,Rotasi,Irigasi Teknis,1,3.13,7813,Ya,1505362,1376144,4646837,Habis,Tidak,Ya,Panen Sendiri,Ya,Tidak Mandiri,Ya,Jual Aset,Tidak,Ya,Tetangga,Sulit,Tetangga,Ya,Tidak,Subur,Tidak
43,Diploma,Petani Penggarap,6,3.28,Sewa,Kedelai,Tumpangsari,Tadah Hujan,4,4.8,6846,Tidak,925989,2054849,2312490,Habis,Ya,Ya,Bantuan,Ya,Mandiri,Tidak,Jual Aset,Tidak,Tidak,Koperasi,Mudah,Internet,Ya,Tidak,Kurang Subur,Ya
56,Sarjana,Buruh Tani,7,1.75,Sewa,Cabai,Tumpangsari,Irigasi Teknis,3,3.02,7477,Tidak,885976,2773886,3691943,Ada,Ya,Ya,Bantuan,Ya,Mandiri,Tidak,Pinjam Uang,Ya,Ya,Tetangga,Mudah,Penyuluh,Ya,Tidak,Sedang,Ya
64,Sarjana,Petani Penggarap,7,2.49,Milik Sendiri,Bawang,Rotasi,Sumur,1,2.1,5250,Tidak,535950,2606446,4410628,Habis,Ya,Ya,Panen Sendiri,Ya,Mandiri,Ya,Jual Aset,Tidak,Tidak,Bank,Sedang,Penyuluh,Tidak,Tidak,Sedang,Ya
39,SMA,Buruh Tani,2,3.3,Bagi Hasil,Padi,Monokultur,Sumur,4,4.26,6899,Ya,1835357,539636,3947946,Ada,Ya,Tidak,Beli Pasar,Tidak,Tidak Mandiri,Ya,Jual Aset,Ya,Ya,Koperasi,Sulit,Tetangga,Tidak,Tidak,Subur,Ya
42,Sarjana,Buruh Tani,7,0.26,Sewa,Padi,Monokultur,Tadah Hujan,2,6.51,6262,Ya,1127629,1181365,3365412,Ada,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Jual Aset,Tidak,Ya,Koperasi,Sedang,Penyuluh,Ya,Tidak,Kurang Subur,Tidak
45,SD,Buruh Tani,4,3.94,Sewa,Cabai,Monokultur,Sumur,4,4.59,7799,Tidak,679713,1738911,4347286,Ada,Ya,Ya,Beli Pasar,Ya,Rentan,Ya,Jual Aset,Tidak,Tidak,Bank,Mudah,Penyuluh,Ya,Tidak,Sedang,Tidak
42,SD,Petani Pemilik,2,1.02,Sewa,Bawang,Rotasi,Tadah Hujan,4,2.62,3734,Tidak,1662283,890339,3503683,Habis,Tidak,Ya,Beli Pasar,Tidak,Rentan,Ya,Jual Aset,Ya,Ya,Tetangga,Sedang,Penyuluh,Ya,Tidak,Sedang,Tidak
56,SMP,Petani Pemilik,3,2.23,Sewa,Kedelai,Tumpangsari,Irigasi Teknis,3,3.51,5020,Tidak,1745302,1320188,2920410,Ada,Ya,Tidak,Panen Sendiri,Tidak,Rentan,Tidak,Kurangi Konsumsi,Tidak,Tidak,Bank,Sulit,Tetangga,Ya,Tidak,Sedang,Ya
55,SMA,Petani Pemilik,5,4.85,Sewa,Cabai,Rotasi,Irigasi Teknis,3,4.26,6218,Tidak,738840,2864960,1838022,Ada,Ya,Tidak,Bantuan,Ya,Rentan,Tidak,Jual Aset,Ya,Tidak,Tetangga,Sedang,Penyuluh,Tidak,Ya,Sedang,Ya
52,Diploma,Petani Pemilik,5,4.95,Sewa,Bawang,Tumpangsari,Tadah Hujan,4,5.26,5945,Ya,729364,1541156,3758181,Habis,Ya,Ya,Bantuan,Tidak,Rentan,Tidak,Pinjam Uang,Ya,Ya,Bank,Mudah,Tetangga,Ya,Tidak,Sedang,Tidak
54,Sarjana,Buruh Tani,6,0.84,Milik Sendiri,Cabai,Monokultur,Sumur,4,7.52,3703,Ya,797114,1960996,2308162,Habis,Tidak,Ya,Bantuan,Tidak,Rentan,Tidak,Pinjam Uang,Tidak,Tidak,Bank,Mudah,Internet,Ya,Ya,Subur,Tidak
31,SMP,Buruh Tani,3,2.63,Bagi Hasil,Jagung,Tumpangsari,Tadah Hujan,4,7.75,4899,Tidak,1820703,1273646,1781763,Habis,Tidak,Ya,Bantuan,Ya,Rentan,Tidak,Kurangi Konsumsi,Ya,Ya,Koperasi,Sedang,Tetangga,Ya,Ya,Kurang Subur,Ya
48,SMA,Petani Pemilik,5,0.66,Bagi Hasil,Cabai,Rotasi,Tadah Hujan,3,5.58,6215,Ya,1229650,1976331,4546358,Habis,Ya,Tidak,Bantuan,Ya,Tidak Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Bank,Mudah,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
51,Sarjana,Petani Pemilik,6,1.98,Milik Sendiri,Cabai,Rotasi,Tadah Hujan,2,5.33,7011,Tidak,794223,1284748,2319444,Habis,Ya,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sedang,Internet,Tidak,Tidak,Subur,Ya
61,SD,Petani Pemilik,4,0.26,Milik Sendiri,Bawang,Tumpangsari,Irigasi Teknis,4,5.39,7057,Ya,1701068,979017,2123607,Habis,Ya,Tidak,Bantuan,Ya,Rentan,Ya,Jual Aset,Ya,Tidak,Koperasi,Sedang,Internet,Tidak,Ya,Sedang,Ya
40,SMP,Buruh Tani,6,3.48,Bagi Hasil,Bawang,Rotasi,Sumur,2,5.7,4692,Ya,624482,2891065,2471426,Habis,Ya,Tidak,Bantuan,Tidak,Rentan,Tidak,Jual Aset,Ya,Ya,Bank,Mudah,Internet,Ya,Ya,Subur,Ya
45,SMP,Buruh Tani,5,2.5,Bagi Hasil,Kedelai,Rotasi,Sumur,4,4.71,3762,Tidak,1581319,1666963,3913798,Habis,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Jual Aset,Tidak,Tidak,Koperasi,Sulit,Internet,Ya,Tidak,Subur,Tidak
42,SMA,Petani Penggarap,4,2.78,Milik Sendiri,Bawang,Tumpangsari,Sumur,1,2.28,6764,Ya,760544,1162630,2850887,Habis,Ya,Tidak,Panen Sendiri,Ya,Tidak Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Tetangga,Sedang,Internet,Ya,Tidak,Kurang Subur,Ya
28,Diploma,Buruh Tani,4,3.66,Milik Sendiri,Cabai,Rotasi,Irigasi Teknis,1,2.01,6906,Ya,778291,2990072,1948713,Habis,Ya,Ya,Bantuan,Tidak,Mandiri,Tidak,Jual Aset,Ya,Tidak,Koperasi,Mudah,Internet,Ya,Ya,Subur,Tidak
48,SMA,Petani Pemilik,5,3.89,Milik Sendiri,Jagung,Monokultur,Tadah Hujan,1,5.66,4344,Tidak,1236494,1393619,3634358,Ada,Tidak,Tidak,Panen Sendiri,Ya,Mandiri,Ya,Pinjam Uang,Tidak,Tidak,Bank,Sedang,Penyuluh,Ya,Tidak,Kurang Subur,Ya
40,Sarjana,Buruh Tani,6,3.63,Sewa,Padi,Rotasi,Sumur,2,5.11,7174,Ya,1321561,1739593,3710232,Ada,Ya,Tidak,Beli Pasar,Ya,Mandiri,Tidak,Jual Aset,Ya,Ya,Bank,Sedang,Penyuluh,Tidak,Tidak,Sedang,Ya
55,SD,Petani Pemilik,6,0.43,Sewa,Jagung,Monokultur,Irigasi Teknis,4,5.04,7104,Tidak,1388301,2187273,1345727,Ada,Tidak,Ya,Beli Pasar,Ya,Tidak Mandiri,Ya,Pinjam Uang,Tidak,Tidak,Tetangga,Sulit,Tetangga,Ya,Tidak,Kurang Subur,Tidak
40,SD,Petani Pemilik,2,4.63,Milik Sendiri,Cabai,Rotasi,Tadah Hujan,1,3.86,4438,Ya,526560,1075507,3942302,Ada,Ya,Tidak,Beli Pasar,Tidak,Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Koperasi,Sedang,Internet,Tidak,Ya,Sedang,Ya
56,Diploma,Buruh Tani,4,0.37,Bagi Hasil,Jagung,Tumpangsari,Irigasi Teknis,3,6.64,7701,Ya,978998,2634166,1010773,Ada,Ya,Ya,Panen Sendiri,Tidak,Rentan,Tidak,Pinjam Uang,Ya,Ya,Tetangga,Sulit,Tetangga,Tidak,Ya,Sedang,Ya
51,SMA,Petani Penggarap,2,2.9,Milik Sendiri,Bawang,Rotasi,Irigasi Teknis,2,3.34,7225,Ya,1340800,789098,4678367,Habis,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Bank,Sulit,Internet,Ya,Tidak,Sedang,Tidak
37,Sarjana,Petani Pemilik,3,0.13,Sewa,Padi,Monokultur,Tadah Hujan,3,5.82,3078,Tidak,503066,2078211,4560989,Habis,Ya,Ya,Bantuan,Ya,Rentan,Tidak,Pinjam Uang,Ya,Tidak,Koperasi,Mudah,Penyuluh,Tidak,Tidak,Sedang,Ya
62,SD,Buruh Tani,3,3.22,Sewa,Padi,Rotasi,Tadah Hujan,1,4.61,4070,Ya,1111688,1594675,4568990,Habis,Tidak,Tidak,Beli Pasar,Tidak,Rentan,Ya,Pinjam Uang,Ya,Ya,Tetangga,Mudah,Penyuluh,Ya,Ya,Sedang,Tidak
45,Diploma,Petani Pemilik,6,1.86,Milik Sendiri,Cabai,Tumpangsari,Sumur,3,7.11,3740,Ya,1938761,1775970,4466116,Ada,Ya,Tidak,Panen Sendiri,Ya,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Tetangga,Sedang,Internet,Ya,Ya,Sedang,Tidak
60,Sarjana,Petani Pemilik,2,2.36,Milik Sendiri,Padi,Monokultur,Irigasi Teknis,2,2.78,6281,Tidak,1939244,852486,3442443,Habis,Ya,Ya,Panen Sendiri,Ya,Tidak Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Koperasi,Mudah,Internet,Ya,Ya,Kurang Subur,Tidak
50,Diploma,Petani Pemilik,5,3.45,Milik Sendiri,Kedelai,Monokultur,Irigasi Teknis,3,3.68,4217,Ya,1787874,1530896,3714882,Habis,Tidak,Tidak,Bantuan,Tidak,Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Bank,Mudah,Tetangga,Ya,Ya,Sedang,Tidak
55,Sarjana,Petani Penggarap,4,4.57,Bagi Hasil,Kedelai,Tumpangsari,Sumur,2,2.16,7891,Ya,561453,1678317,1245749,Habis,Tidak,Ya,Panen Sendiri,Ya,Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Sedang,Internet,Ya,Ya,Subur,Tidak
47,Sarjana,Petani Pemilik,7,3.53,Bagi Hasil,Bawang,Monokultur,Tadah Hujan,2,7.02,7032,Tidak,868169,2557039,1159231,Ada,Ya,Ya,Bantuan,Ya,Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Koperasi,Sedang,Tetangga,Ya,Tidak,Subur,Ya
34,Sarjana,Buruh Tani,3,3.89,Bagi Hasil,Kedelai,Monokultur,Sumur,4,5.52,5757,Tidak,1176547,1072319,1660619,Habis,Tidak,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Koperasi,Mudah,Tetangga,Ya,Tidak,Kurang Subur,Ya
36,Sarjana,Petani Penggarap,6,1.18,Bagi Hasil,Padi,Tumpangsari,Irigasi Teknis,3,6.47,4949,Tidak,1170079,1204170,3668360,Ada,Tidak,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Jual Aset,Ya,Tidak,Bank,Mudah,Tetangga,Ya,Ya,Sedang,Tidak
51,SMP,Petani Penggarap,5,4.42,Sewa,Bawang,Tumpangsari,Irigasi Teknis,4,6.73,7735,Ya,841115,2392836,1309159,Ada,Tidak,Ya,Beli Pasar,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Tidak,Koperasi,Sulit,Penyuluh,Ya,Tidak,Kurang Subur,Tidak
26,Diploma,Buruh Tani,3,3.08,Sewa,Jagung,Monokultur,Irigasi Teknis,3,3.23,4556,Tidak,1962127,2824115,4028447,Habis,Tidak,Tidak,Panen Sendiri,Ya,Mandiri,Tidak,Jual Aset,Tidak,Ya,Koperasi,Sedang,Penyuluh,Tidak,Ya,Sedang,Tidak
37,SD,Petani Pemilik,3,0.94,Sewa,Padi,Tumpangsari,Irigasi Teknis,3,6.71,6857,Tidak,1886301,1611509,1382255,Habis,Ya,Tidak,Beli Pasar,Tidak,Mandiri,Tidak,Pinjam Uang,Tidak,Tidak,Bank,Sedang,Penyuluh,Tidak,Ya,Subur,Ya
30,SMA,Buruh Tani,5,4.86,Bagi Hasil,Jagung,Rotasi,Irigasi Teknis,4,6.91,6429,Tidak,1701068,1488354,2997588,Habis,Ya,Tidak,Bantuan,Ya,Tidak Mandiri,Ya,Pinjam Uang,Tidak,Ya,Koperasi,Mudah,Penyuluh,Ya,Ya,Sedang,Ya
52,SMP,Buruh Tani,3,4.19,Sewa,Kedelai,Rotasi,Irigasi Teknis,1,4.33,6255,Tidak,1079235,2679730,2921650,Ada,Tidak,Ya,Beli Pasar,Ya,Mandiri,Ya,Pinjam Uang,Ya,Tidak,Tetangga,Sedang,Internet,Tidak,Tidak,Kurang Subur,Tidak
61,Sarjana,Petani Penggarap,2,0.94,Sewa,Jagung,Rotasi,Tadah Hujan,4,2.23,5715,Ya,603370,2493209,4862261,Habis,Tidak,Ya,Beli Pasar,Tidak,Rentan,Tidak,Kurangi Konsumsi,Ya,Ya,Koperasi,Sedang,Tetangga,Tidak,Tidak,Sedang,Tidak
63,SD,Petani Pemilik,5,1.14,Sewa,Cabai,Rotasi,Sumur,1,5.09,4302,Ya,1152472,2625653,2691919,Ada,Ya,Ya,Panen Sendiri,Ya,Mandiri,Ya,Pinjam Uang,Tidak,Ya,Bank,Sulit,Penyuluh,Tidak,Tidak,Sedang,Tidak
65,SD,Buruh Tani,2,1.29,Sewa,Bawang,Tumpangsari,Irigasi Teknis,4,5.52,5865,Tidak,842912,1584898,4141370,Ada,Tidak,Ya,Beli Pasar,Ya,Mandiri,Ya,Pinjam Uang,Ya,Ya,Bank,Sulit,Internet,Ya,Ya,Sedang,Ya
36,Sarjana,Petani Pemilik,3,1.34,Sewa,Kedelai,Tumpangsari,Sumur,3,4.75,4787,Tidak,1133644,2683713,4457410,Habis,Ya,Ya,Bantuan,Tidak,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Koperasi,Sedang,Internet,Tidak,Tidak,Sedang,Tidak
37,SMP,Buruh Tani,3,4.51,Bagi Hasil,Cabai,Rotasi,Sumur,2,6.33,7074,Tidak,1044056,2255591,2697010,Habis,Ya,Ya,Beli Pasar,Ya,Tidak Mandiri,Tidak,Jual Aset,Tidak,Tidak,Koperasi,Sulit,Tetangga,Ya,Tidak,Subur,Tidak
33,SMA,Buruh Tani,6,3.84,Milik Sendiri,Kedelai,Rotasi,Irigasi Teknis,2,4.13,5515,Tidak,1194822,2058949,2092864,Habis,Tidak,Ya,Beli Pasar,Ya,Tidak Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Sedang,Tetangga,Tidak,Tidak,Subur,Ya
33,SMP,Petani Penggarap,5,4.94,Sewa,Jagung,Tumpangsari,Tadah Hujan,2,6.67,6994,Tidak,1823371,1241654,2314553,Ada,Ya,Tidak,Beli Pasar,Ya,Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Sedang,Tetangga,Tidak,Tidak,Sedang,Tidak
49,SD,Petani Pemilik,6,1.08,Sewa,Padi,Tumpangsari,Tadah Hujan,2,2.11,3033,Ya,974513,1944307,2309009,Ada,Ya,Tidak,Bantuan,Tidak,Mandiri,Ya,Pinjam Uang,Tidak,Tidak,Bank,Sulit,Tetangga,Tidak,Tidak,Kurang Subur,Ya
46,Diploma,Petani Penggarap,3,0.91,Sewa,Padi,Monokultur,Irigasi Teknis,2,3.27,3179,Ya,758289,2037595,3982611,Ada,Tidak,Tidak,Bantuan,Ya,Tidak Mandiri,Ya,Jual Aset,Ya,Ya,Koperasi,Sulit,Penyuluh,Tidak,Tidak,Sedang,Ya
60,SMA,Petani Penggarap,7,0.85,Bagi Hasil,Padi,Tumpangsari,Sumur,1,5.97,5211,Ya,1378341,940042,3145742,Ada,Tidak,Ya,Panen Sendiri,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Tidak,Tetangga,Sedang,Internet,Ya,Ya,Kurang Subur,Tidak
38,Diploma,Petani Penggarap,3,0.11,Bagi Hasil,Padi,Monokultur,Tadah Hujan,4,2.89,3737,Ya,712421,1573289,3702544,Ada,Tidak,Tidak,Beli Pasar,Tidak,Mandiri,Ya,Pinjam Uang,Ya,Tidak,Bank,Sulit,Internet,Tidak,Ya,Subur,Ya
25,SMP,Buruh Tani,7,0.94,Sewa,Cabai,Rotasi,Sumur,1,4.24,5807,Ya,738723,2180982,2678771,Habis,Tidak,Tidak,Bantuan,Tidak,Rentan,Ya,Pinjam Uang,Ya,Ya,Koperasi,Mudah,Internet,Tidak,Tidak,Subur,Tidak
47,Sarjana,Petani Pemilik,7,4.41,Bagi Hasil,Jagung,Tumpangsari,Sumur,1,7.33,6610,Ya,632825,1597283,3747158,Habis,Ya,Ya,Bantuan,Tidak,Tidak Mandiri,Ya,Kurangi Konsumsi,Ya,Tidak,Bank,Sulit,Tetangga,Tidak,Ya,Kurang Subur,Ya
25,SMP,Buruh Tani,5,4.27,Milik Sendiri,Padi,Tumpangsari,Sumur,2,3.99,5278,Ya,1563107,1434098,3308945,Habis,Tidak,Ya,Panen Sendiri,Tidak,Rentan,Tidak,Pinjam Uang,Tidak,Tidak,Bank,Mudah,Internet,Ya,Ya,Sedang,Tidak
27,Sarjana,Buruh Tani,2,4.15,Bagi Hasil,Bawang,Rotasi,Sumur,2,5.93,6737,Tidak,1261984,727646,4425021,Ada,Tidak,Tidak,Bantuan,Tidak,Tidak Mandiri,Tidak,Jual Aset,Tidak,Ya,Koperasi,Sulit,Penyuluh,Ya,Tidak,Sedang,Tidak
60,Sarjana,Petani Penggarap,7,0.62,Milik Sendiri,Cabai,Monokultur,Tadah Hujan,4,2.64,4604,Ya,753222,2147927,1904247,Habis,Ya,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Bank,Mudah,Tetangga,Ya,Tidak,Kurang Subur,Tidak
57,SMP,Buruh Tani,6,0.95,Milik Sendiri,Padi,Tumpangsari,Tadah Hujan,3,5.02,6151,Tidak,1777152,1541188,2147544,Habis,Tidak,Tidak,Beli Pasar,Ya,Mandiri,Tidak,Jual Aset,Tidak,Tidak,Tetangga,Sulit,Tetangga,Ya,Ya,Subur,Tidak
47,SMP,Buruh Tani,7,4.88,Milik Sendiri,Bawang,Rotasi,Tadah Hujan,3,6.26,5885,Tidak,1722233,2893430,4953859,Habis,Tidak,Tidak,Panen Sendiri,Ya,Mandiri,Tidak,Pinjam Uang,Ya,Ya,Koperasi,Sedang,Penyuluh,Tidak,Tidak,Subur,Ya
43,SMP,Buruh Tani,2,1.86,Sewa,Padi,Rotasi,Tadah Hujan,2,6.45,7597,Tidak,998273,2642963,4289622,Habis,Ya,Tidak,Beli Pasar,Tidak,Tidak Mandiri,Tidak,Jual Aset,Ya,Ya,Tetangga,Sedang,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
62,Sarjana,Buruh Tani,6,1.06,Bagi Hasil,Jagung,Tumpangsari,Sumur,2,7.9,3610,Ya,864474,2655229,1500606,Habis,Ya,Tidak,Beli Pasar,Tidak,Mandiri,Ya,Jual Aset,Tidak,Ya,Bank,Sedang,Tetangga,Ya,Ya,Subur,Tidak
63,SD,Buruh Tani,6,4.23,Sewa,Cabai,Rotasi,Tadah Hujan,3,2.44,5603,Ya,885601,2683581,1285952,Ada,Tidak,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Jual Aset,Tidak,Tidak,Bank,Sedang,Penyuluh,Tidak,Ya,Subur,Tidak
53,SMP,Buruh Tani,6,4.6,Milik Sendiri,Padi,Rotasi,Sumur,4,7.5,3928,Tidak,1038109,2765919,4036573,Habis,Ya,Tidak,Bantuan,Tidak,Rentan,Ya,Kurangi Konsumsi,Ya,Tidak,Tetangga,Mudah,Penyuluh,Ya,Ya,Kurang Subur,Ya
38,SMP,Buruh Tani,5,4.19,Milik Sendiri,Bawang,Rotasi,Tadah Hujan,4,5.88,3590,Ya,549813,2426130,4006763,Habis,Ya,Ya,Panen Sendiri,Ya,Mandiri,Tidak,Jual Aset,Ya,Ya,Bank,Sedang,Internet,Tidak,Tidak,Sedang,Tidak
26,Diploma,Buruh Tani,2,2.72,Bagi Hasil,Bawang,Monokultur,Tadah Hujan,1,6.21,3594,Tidak,1554525,945164,2215662,Habis,Ya,Tidak,Beli Pasar,Tidak,Rentan,Ya,Kurangi Konsumsi,Ya,Ya,Koperasi,Sulit,Internet,Tidak,Ya,Sedang,Tidak
25,Sarjana,Buruh Tani,3,0.7,Milik Sendiri,Bawang,Rotasi,Sumur,1,3.83,5816,Ya,1365399,2649801,1597500,Ada,Ya,Ya,Bantuan,Tidak,Mandiri,Ya,Pinjam Uang,Ya,Tidak,Tetangga,Sulit,Penyuluh,Tidak,Ya,Sedang,Ya
37,Sarjana,Petani Penggarap,4,1.85,Bagi Hasil,Jagung,Monokultur,Sumur,1,7.4,5603,Tidak,1445073,1877183,3585127,Habis,Ya,Tidak,Beli Pasar,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Sulit,Tetangga,Tidak,Tidak,Sedang,Ya
46,Diploma,Petani Penggarap,5,1.86,Sewa,Cabai,Rotasi,Irigasi Teknis,2,5.87,3671,Tidak,793604,2759127,1823895,Habis,Ya,Ya,Panen Sendiri,Ya,Tidak Mandiri,Tidak,Jual Aset,Ya,Ya,Tetangga,Sedang,Tetangga,Tidak,Ya,Sedang,Tidak
39,Sarjana,Buruh Tani,4,0.76,Bagi Hasil,Bawang,Monokultur,Sumur,3,5.01,4956,Ya,1578222,1088757,2871584,Ada,Ya,Ya,Bantuan,Tidak,Rentan,Ya,Pinjam Uang,Tidak,Ya,Koperasi,Sedang,Internet,Ya,Ya,Kurang Subur,Ya
58,SMA,Petani Penggarap,5,4.6,Milik Sendiri,Padi,Rotasi,Sumur,1,6.22,7271,Tidak,1052213,2926956,3283169,Ada,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Bank,Sedang,Internet,Tidak,Ya,Kurang Subur,Ya
53,SMP,Petani Pemilik,2,2.62,Sewa,Jagung,Monokultur,Irigasi Teknis,2,4.17,3969,Ya,1369507,1885063,4020971,Ada,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Jual Aset,Tidak,Ya,Koperasi,Mudah,Penyuluh,Ya,Ya,Kurang Subur,Ya
61,SMP,Petani Pemilik,3,1.37,Milik Sendiri,Bawang,Tumpangsari,Tadah Hujan,1,7.27,5322,Ya,954229,2384095,3543953,Habis,Tidak,Ya,Panen Sendiri,Tidak,Tidak Mandiri,Ya,Jual Aset,Ya,Tidak,Koperasi,Sulit,Tetangga,Tidak,Tidak,Kurang Subur,Ya
39,Diploma,Petani Penggarap,3,0.63,Milik Sendiri,Bawang,Rotasi,Tadah Hujan,4,6.96,7960,Ya,872081,2495940,4781618,Ada,Ya,Ya,Beli Pasar,Ya,Tidak Mandiri,Ya,Jual Aset,Tidak,Tidak,Bank,Mudah,Tetangga,Tidak,Ya,Sedang,Tidak
47,Sarjana,Buruh Tani,7,2.92,Sewa,Jagung,Tumpangsari,Sumur,2,7.46,3686,Tidak,1754709,2780573,2713988,Habis,Ya,Ya,Bantuan,Ya,Tidak Mandiri,Ya,Jual Aset,Ya,Tidak,Tetangga,Mudah,Tetangga,Tidak,Tidak,Sedang,Ya
34,Diploma,Buruh Tani,6,1.34,Bagi Hasil,Cabai,Rotasi,Sumur,3,7.95,6255,Ya,1366602,2815695,4287446,Habis,Ya,Tidak,Bantuan,Tidak,Rentan,Tidak,Jual Aset,Tidak,Tidak,Tetangga,Mudah,Tetangga,Ya,Ya,Sedang,Ya
31,SMP,Buruh Tani,5,3.95,Bagi Hasil,Bawang,Rotasi,Tadah Hujan,1,2.96,3043,Ya,804775,2478321,4883345,Habis,Ya,Ya,Beli Pasar,Ya,Rentan,Ya,Jual Aset,Ya,Tidak,Bank,Sulit,Tetangga,Tidak,Ya,Subur,Tidak
53,SD,Petani Pemilik,7,4.66,Bagi Hasil,Kedelai,Monokultur,Irigasi Teknis,2,5.69,3295,Tidak,1001757,501204,1660371,Ada,Tidak,Tidak,Beli Pasar,Tidak,Rentan,Ya,Jual Aset,Ya,Ya,Koperasi,Sulit,Internet,Tidak,Tidak,Sedang,Ya
63,SMP,Petani Penggarap,5,2.92,Sewa,Jagung,Tumpangsari,Tadah Hujan,1,5.35,7121,Tidak,1212960,990771,4367783,Habis,Tidak,Tidak,Beli Pasar,Tidak,Mandiri,Tidak,Kurangi Konsumsi,Tidak,Ya,Bank,Mudah,Internet,Ya,Tidak,Kurang Subur,Ya
39,SMA,Petani Penggarap,4,2.63,Milik Sendiri,Kedelai,Monokultur,Sumur,1,4.39,5801,Ya,1662978,1248623,2998818,Habis,Tidak,Ya,Bantuan,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Mudah,Internet,Ya,Ya,Subur,Ya
64,SMA,Petani Pemilik,2,0.69,Milik Sendiri,Cabai,Rotasi,Irigasi Teknis,1,7.09,6040,Tidak,1532512,2909708,4643880,Habis,Tidak,Ya,Bantuan,Tidak,Rentan,Ya,Jual Aset,Ya,Ya,Tetangga,Sedang,Internet,Ya,Tidak,Sedang,Ya
54,SD,Buruh Tani,6,2.35,Bagi Hasil,Padi,Monokultur,Tadah Hujan,2,4.28,3825,Tidak,1258335,1589263,1784974,Habis,Ya,Tidak,Beli Pasar,Tidak,Rentan,Ya,Kurangi Konsumsi,Tidak,Ya,Bank,Sulit,Internet,Tidak,Tidak,Sedang,Tidak
36,Sarjana,Petani Pemilik,6,3.46,Milik Sendiri,Kedelai,Monokultur,Tadah Hujan,4,7.14,4606,Ya,813625,2483851,4379218,Ada,Ya,Tidak,Beli Pasar,Ya,Tidak Mandiri,Tidak,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sulit,Penyuluh,Tidak,Ya,Kurang Subur,Ya
